2318559,O,64,85,76,68
2274659,R,61,86,60,74
2172865,O,85,79,61,96
2323003,O,100,71,91,61
2224995,R,96,99,66,100
2317273,O,84,70,96,67
2327757,O,78,89,64,77
2179419,O,87,83,70,71
2282575,O,81,76,97,96
1981649,R,64,68,85,82
2208179,O,86,86,73,91
2371211,O,98,86,79,77
2135641,O,90,63,82,93
2263054,O,99,95,95,88
2228881,O,98,61,60,91
2283929,R,82,72,68,96
2277474,O,89,75,78,83
2343488,O,84,88,76,89
2101802,O,74,86,90,84
2276676,R,61,87,65,61
1703145,O,77,64,79,77
2340663,O,97,64,64,64
2224776,O,66,85,88,72
2396091,O,91,72,94,82
2390559,R,87,99,68,86
2165104,O,89,77,60,73
2341074,O,60,72,79,81
2208452,O,83,80,87,62
