2245021,O,75,93,71
2157738,O,97,99,99
2198686,O,79,74,73
2351683,O,60,60,62
2355905,O,95,60,88
2339629,O,88,67,96
2377080,O,85,83,67
2256368,O,74,94,88
2265807,O,70,81,69
2301351,O,98,71,81
2181653,O,87,69,68
2235892,O,85,65,70
2174013,R,69,93,80
2356539,O,98,64,96
2135945,O,77,74,98
2131183,O,95,92,97
2317412,O,100,74,63
2272697,O,88,81,87
2243012,O,93,73,88
2234539,O,67,94,82
2112520,O,67,86,61
2153513,r,90,76,64
2173041,O,66,95,62
2294030,O,81,98,98
2261896,O,70,73,87
2335618,O,88,70,95
2255642,O,69,87,83
