2245021,O,74,74,77
2157738,O,86,73,91
2198686,O,73,87,66
2351683,E,89,83,92
2355905,O,83,81,80
2339629,O,61,72,94
1807045,O,70,67,76
2256368,R,79,81,100
2265807,O,79,67,91
2301351,O,70,94,79
2181653,O,74,78,63
2235892,O,91,89,87
2174013,O,97,81,68
2356539,R,73,97,72
2095296,O,62,76,97
2135945,O,63,98,92
2131183,R,90,85,71
2317412,O,74,75,73
2272697,O,63,86,93
2243012,O,100,67,61
2234539,O,92,62,87
2112520,R,84,66,66
2153513,O,96,94,82
1971676,O,84,81,78
2294030,O,76,84,90
2261896,O,72,82,61
2335618,R,61,76,61
2255642,O,71,95,68
2214376,O,100,88,74
2143596,O,67,89,91
