2077376,R,96,86,96,71,73
1750877,O,84,76,68,88,90
1723740,O,62,100,78,65,74
2060777,O,72,99,62,83,83
1802058,O,61,61,83,94,82
2006923,O,73,99,97,62,77
1990552,O,74,60,77,61,93
1920719,O,83,93,97,91,90
2048168,O,88,86,95,79,75
1853760,R,93,86,85,86,71
2052792,O,97,79,78,83,68
1827399,O,85,76,79,76,87
2063638,O,78,100,84,99,75
2095296,O,71,99,91,68,64
2083153,O,96,94,72,80,92
1738629,R,78,60,82,92,89
1885283,O,66,76,72,63,87
1759748,O,83,92,95,90,63
1990767,O,99,86,86,85,82
1788235,O,61,75,76,79,70
1801091,R,60,64,82,83,85
1964191,O,77,84,86,97,64
2004569,O,69,85,74,85,80
1829768,O,76,91,70,96,60
