2245021,O,100,63,70,71
2157738,O,79,64,91,76
2198686,O,91,64,63,80
2351683,R,94,86,87,92
2355905,O,83,94,87,71
2339629,O,70,79,83,74
2377080,O,98,100,71,71
2256368,R,63,83,79,89
2265807,O,64,65,91,90
1933670,O,70,95,71,89
2181653,E,80,73,83,100
2235892,O,65,97,69,62
2174013,R,66,100,95,84
2356539,O,62,87,98,66
2130003,O,98,64,100,99
2135945,O,97,79,91,87
2131183,O,63,62,77,60
2317412,O,84,84,69,76
2272697,O,74,71,96,66
2243012,O,98,77,73,83
2004569,O,97,61,92,71
2112520,O,77,74,88,84
2153513,O,79,75,80,74
2173041,O,71,88,80,84
2294030,R,94,94,85,73
2261896,O,84,95,98,96
2255642,O,65,61,100,75
2214376,O,96,70,66,92
