2077376,O,70,82,68,88
1750877,O,68,68,70,75
1723740,R,88,66,90,66
2060777,O,63,89,89,86
1802058,O,93,65,72,97
2006923,O,82,78,92,82
1990552,O,70,73,69,66
1920719,O,100,100,75,60
2048168,R,85,97,77,85
1853760,O,75,86,91,79
2052792,O,93,99,64,79
1827399,O,69,79,93,65
2063638,O,90,74,67,81
2071398,O,73,96,61,79
2095296,O,93,100,85,74
2083153,R,79,68,78,95
1738629,O,69,69,80,68
1885283,O,68,64,78,66
1759748,O,66,67,86,76
1990767,E,82,75,96,63
1788235,O,74,84,60,70
1801091,O,98,72,66,82
1964191,O,67,100,87,92
2004569,O,86,93,63,87
1829768,O,70,90,76,76
