2030044,O,98,85,89,84
1876321,O,75,77,95,90
1849884,R,89,98,63,89
1952611,O,92,95,93,62
1944883,O,66,74,91,87
2150291,R,96,95,84,68
1807045,O,65,93,89,78
2065679,O,77,61,71,78
1943435,O,98,90,74,80
2061875,O,98,98,98,87
1977371,O,95,85,74,96
2105724,O,69,66,66,68
1804737,O,72,73,69,83
2180846,R,61,91,78,85
2102187,O,78,73,81,67
2161239,O,63,63,93,67
2073738,O,87,87,86,64
1903945,O,94,61,90,89
1815637,O,95,86,97,66
1885743,O,91,100,90,85
2141469,O,67,68,85,75
2178431,O,88,100,65,95
1826611,R,94,92,64,69
1817706,O,87,68,99,66
2104331,O,66,89,86,86
2193741,O,81,97,62,92
2105898,O,84,79,77,99
1933670,O,90,79,72,76
2104320,R,64,76,79,97
1997283,O,94,61,99,80
1971676,O,65,82,60,62
