2030044,O,65,84,82,89
1876321,O,71,99,88,99
1849884,O,62,85,61,100
1952611,R,84,82,85,67
1944883,O,98,60,95,87
2150291,O,76,97,64,67
1807045,E,62,100,81,90
2065679,O,96,94,82,94
1943435,O,89,93,78,87
2061875,O,68,74,75,70
1977371,O,63,80,93,79
2105724,R,93,77,90,90
1804737,O,78,86,85,83
2180846,O,76,64,90,62
1920719,O,84,90,65,80
2161239,O,96,68,99,66
2073738,R,68,100,100,76
1903945,O,89,92,100,82
1815637,O,75,95,70,65
1885743,O,88,99,66,91
2141469,O,87,86,86,100
2178431,O,76,89,84,81
1826611,R,85,100,77,95
1759748,O,60,99,84,99
2104331,O,88,85,99,88
2193741,O,63,94,86,75
2105898,O,70,65,72,81
1933670,O,88,70,79,84
2104320,R,70,65,83,75
1723740,O,84,82,62,81
1926514,O,88,98,62,89
1971676,O,62,80,91,67
