2030044,O,85,96,79
1876321,O,88,98,71
1849884,R,98,80,89
1952611,O,71,84,77
1944883,O,76,68,100
2150291,O,65,87,93
1807045,O,99,63,98
2065679,R,76,92,83
1943435,O,81,64,70
2061875,O,77,76,76
1977371,O,68,79,77
2105724,O,70,71,82
1804737,O,71,74,71
2180846,R,83,78,79
2102187,O,86,64,68
2161239,O,91,90,82
2073738,O,74,62,77
1903945,O,78,67,85
1815637,R,87,85,89
1885743,O,97,83,91
2141469,O,84,60,98
2178431,O,69,97,79
1826611,O,82,83,66
1817706,O,77,94,87
2104331,O,63,94,97
2193741,O,97,65,87
2105898,O,88,86,77
1933670,O,98,77,89
2104320,O,74,86,83
1997283,E,86,71,92
1926514,O,97,87,65
1971676,O,90,60,79
