2030044,O,87,82,97,97,81
1876321,O,75,90,63,61,85
1849884,O,78,71,62,61,98
1952611,R,90,83,61,68,92
1944883,O,62,92,84,95,72
2150291,O,88,88,74,79,60
1807045,O,90,94,81,62,62
2065679,R,68,65,61,70,75
1943435,O,65,98,65,98,72
2061875,O,61,61,77,99,90
1977371,O,67,65,80,61,60
2105724,O,78,85,83,97,96
1804737,R,99,75,78,67,65
2180846,O,67,74,79,77,68
2102187,O,70,60,60,100,71
2161239,O,71,76,97,80,68
2073738,O,96,82,62,78,67
1903945,O,94,66,65,92,65
1815637,E,97,66,94,76,75
1885743,O,77,68,96,80,84
2141469,R,96,99,78,62,64
2178431,O,96,93,68,90,92
1826611,O,94,80,91,63,85
1817706,O,62,93,87,99,61
2104331,O,86,94,91,75,65
2193741,O,96,98,91,66,67
2105898,R,89,98,70,68,80
2104320,O,84,60,89,99,63
1997283,O,87,88,94,86,81
1926514,O,68,65,64,67,82
1971676,O,100,95,95,65,91
